File Name,Total RMSE
6122.csv,1.4142135623730951
8832.csv,12.0
9198.csv,No common data
9310.csv,0.816496580927726
9790.csv,1.4142135623730951
11763.csv,4.743416490252569
12316.csv,8.445906306213285
12937.csv,4.123105625617661
15494.csv,0.816496580927726
15947.csv,4.69041575982343
multi_col_112.csv,6.2174155044966675
multi_col_1119.csv,14.638177823759348
multi_col_1144.csv,6.085638832530238
multi_col_1305.csv,463.0471273220601
multi_col_1380.csv,1.1477514248883918
multi_col_1510.csv,6.565981811036118
multi_col_20235.csv,9.367496997597597
multi_col_20293.csv,1.583874995067477
multi_col_100159.csv,1.7682382946499793
multi_col_101217.csv,15.47578754054216
multi_col_111.csv,1.204823638546323
multi_col_142.csv,37.36499507751683
multi_col_1291.csv,2.30629753790211
multi_col_1464.csv,0.16292892110774362
multi_col_1489.csv,3.6865973471481803
multi_col_1525.csv,1143.7611617982554
multi_col_1530.csv,2.0305306068746027
multi_col_20107.csv,7.496570644539505
multi_col_20229.csv,8.277377483237068
multi_col_100858.csv,8.069252340417501
